        Frequency / GHz                S2,1/abs,dB
               3.0024005                    -0.058008241
                3.005201                    -0.058160734
               3.0080016                    -0.058313574
               3.0108022                    -0.058466763
               3.0136027                    -0.058620303
               3.0164033                    -0.058774193
               3.0192038                    -0.058928436
               3.0220044                    -0.059083033
                3.024805                    -0.059237983
               3.0276055                     -0.05939329
               3.0304061                    -0.059548953
               3.0332066                    -0.059704973
               3.0360072                    -0.059861352
               3.0388078                    -0.060018091
               3.0416083                    -0.060175191
               3.0444089                    -0.060332653
               3.0472094                    -0.060490478
                 3.05001                    -0.060648668
               3.0528106                    -0.060807222
               3.0556111                    -0.060966143
               3.0584117                    -0.061125432
               3.0612122                     -0.06128509
               3.0640128                    -0.061445117
               3.0668134                    -0.061605515
               3.0696139                    -0.061766286
               3.0724145                     -0.06192743
                3.075215                    -0.062088948
               3.0780156                    -0.062250842
               3.0808162                    -0.062413113
               3.0836167                    -0.062575761
               3.0864173                    -0.062738789
               3.0892178                    -0.062902197
               3.0920184                    -0.063065987
                3.094819                    -0.063230159
               3.0976195                    -0.063394716
               3.1004201                    -0.063559657
               3.1032206                    -0.063724985
               3.1060212                      -0.0638907
               3.1088218                    -0.064056804
               3.1116223                    -0.064223299
               3.1144229                    -0.064390184
               3.1172234                    -0.064557462
                3.120024                    -0.064725133
               3.1228246                      -0.0648932
               3.1256251                    -0.065061662
               3.1284257                    -0.065230523
               3.1312262                    -0.065399782
               3.1340268                     -0.06556944
               3.1368274                    -0.065739501
               3.1396279                    -0.065909964
               3.1424285                     -0.06608083
                3.145229                    -0.066252102
               3.1480296                    -0.066423781
               3.1508302                    -0.066595867
               3.1536307                    -0.066768362
               3.1564313                    -0.066941268
               3.1592318                    -0.067114585
               3.1620324                    -0.067288316
                3.164833                    -0.067462461
               3.1676335                    -0.067637021
               3.1704341                    -0.067811999
               3.1732346                    -0.067987396
               3.1760352                    -0.068163212
               3.1788358                    -0.068339449
               3.1816363                    -0.068516109
               3.1844369                    -0.068693193
               3.1872374                    -0.068870702
                3.190038                    -0.069048638
               3.1928386                    -0.069227003
               3.1956391                    -0.069405797
               3.1984397                    -0.069585021
               3.2012402                    -0.069764679
               3.2040408                     -0.06994477
